"Include in desktop navigation","Incluir na navegação de Desktop"
"When enabled category will be shown in navigation for desktop and tablet devices.","Quando ativada, a categoria será mostrada na navegação para computadores e tablets."
"Include in mobile navigation","Incluir na navegação móvel"
"When enabled category will be shown in navigation for mobile devices.","Quando ativada, a categoria será mostrada na navegação para dispositivos móveis."
"Custom target URL","URL de destino personalizado"
"Links to this category will be replaced with above URL when provided. Use absolute URL (starts with https://) to redirect outside the shop. Use relative URL (i.e. customer/account/login/) to redirect within the shop.","Os links para esta categoria serão substituídos pelo URL acima, quando fornecidos. Use URL absoluto (começa com https://) para redirecionar para fora da loja. Use o URL relativo (ou seja, cliente/conta/login/) para redirecionar dentro da loja."
"Use Category Name in product search","Use o nome da categoria na pesquisa de produtos"
"Positive Indicators","Indicadores positivos"
"Only X available threshold","Limite "Apenas X disponível""
"If product quantity is less than this number, show information "Only X products left" on the product page. This setting applies to all the products within the category. This parameter can also be set for a product directly, and that value is more important.","Se a quantidade do produto for menor que esse número, mostre as informações "Restam apenas X produtos" na página do produto. Essa configuração se aplica a todos os produtos dentro da categoria. Esse parâmetro também pode ser definido para um produto diretamente, e esse valor é mais importante."
"Enable Popular Icon","Ativar ícone popular"
"Mark X first products from this category as popular.","Marque os primeiros produtos desta categoria como populares."
"Navigation - Featured Products","Navegação - Produtos em destaque"
"Products List Preview and Sorting","Visualização e classificação da lista de produtos"
"Your product selection is empty for the selected Store View. If you are running a multi-store setup, please check this manual page for more informations.","Sua seleção de produtos está vazia para a Visualização da loja selecionada. Se você estiver executando uma configuração de várias lojas, consulte esta página de manual para obter mais informações."
"Use Parent Category Settings","Usar configurações de categoria pai"
"Category group","Grupo de categorias"
"An additional category’s identifier to be used by developers to add e.g. CSS classes","Um identificador de categoria adicional a ser usado pelos desenvolvedores para adicionar, por exemplo Classes CSS"
"If this field is empty, the value for "Meta Title" will be used. If "Meta Title" is also empty, category name will be used.","Se este campo estiver vazio, o valor para "Meta Title" será usado. Se "Meta Title" também estiver vazio, o nome da categoria será usado."
"If this field is empty, the image from "Image Teaser" will be used.","Se este campo estiver vazio, a imagem do "Image Teaser" será usada."
